file,line,citation_text,citation_type,authors,year,normalized_author_year,matched_bib_key,status,reason
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,3,"(Abanyie et al., 2023)",parenthetical,Abanyie et al.,2023,abanyie2023,abanyie2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,3,"(Kwoyiga et al., 2018)",parenthetical,Kwoyiga et al.,2018,kwoyiga2018,kwoyiga2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,3,"(Araya et al., 2022)",parenthetical,Araya et al.,2022,araya2022,araya2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,3,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,3,"(Sunkari et al., 2024)",parenthetical,Sunkari et al.,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,3,"(Sunkari & Ambushe, 2024)",parenthetical,Sunkari & Ambushe,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,5,"(Ganyaglo et al., 2019)",parenthetical,Ganyaglo et al.,2019,ganyaglo2019,ganyaglo2019,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,5,"(Ashong et al., 2024)",parenthetical,Ashong et al.,2024,ashong2024,ashong2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,5,"(Araya et al., 2022)",parenthetical,Araya et al.,2022,araya2022,araya2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-01-groundwater-dependence.md,5,"(Ganyaglo et al., 2019)",parenthetical,Ganyaglo et al.,2019,ganyaglo2019,ganyaglo2019,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,3,"(Chidiac et al., 2023)",parenthetical,Chidiac et al.,2023,chidiac2023,chidiac2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,3,"(Seifi et al., 2020)",parenthetical,Seifi et al.,2020,seifi2020,seifi2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,3,"(Seifi et al., 2020)",parenthetical,Seifi et al.,2020,seifi2020,seifi2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,3,"(Wang et al., 2023)",parenthetical,Wang et al.,2023,wang2023,wang2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,3,"(Chidiac et al., 2023)",parenthetical,Chidiac et al.,2023,chidiac2023,chidiac2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,5,"(Reghais et al., 2024)",parenthetical,Reghais et al.,2024,reghais2024,reghais2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,5,"(Drouiche et al., 2024)",parenthetical,Drouiche et al.,2024,drouiche2024,drouiche2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,5,"(Oh et al., 2024)",parenthetical,Oh et al.,2024,oh2024,oh2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,5,"(Shelton et al., 2018)",parenthetical,Shelton et al.,2018,shelton2018,shelton2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,5,"(Oh et al., 2024)",parenthetical,Oh et al.,2024,oh2024,oh2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,7,"(Kaur et al., 2020)",parenthetical,Kaur et al.,2020,kaur2020,kaur2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,7,"(Gao et al., 2022)",parenthetical,Gao et al.,2022,gao2022,gao2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,7,"(Ma et al., 2022)",parenthetical,Ma et al.,2022,ma2022,ma2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-02-limits-conventional.md,7,"(Yan et al., 2023)",parenthetical,Yan et al.,2023,yan2023,yan2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Liu et al., 2023)",parenthetical,Liu et al.,2023,liu2023,liu2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Yan et al., 2024)",parenthetical,Yan et al.,2024,yan2024,yan2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Jadoon et al., 2024)",parenthetical,Jadoon et al.,2024,jadoon2024,jadoon2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Tan et al., 2024)",parenthetical,Tan et al.,2024,tan2024,tan2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Rajendran et al., 2021)",parenthetical,Rajendran et al.,2021,rajendran2021,rajendran2021,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Aware et al., 2025)",parenthetical,Aware et al.,2025,aware2025,aware2025,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Li et al., 2024)",parenthetical,Li et al.,2024,li2024,li2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Oh et al., 2024)",parenthetical,Oh et al.,2024,oh2024,oh2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(An et al., 2022)",parenthetical,An et al.,2022,an2022,an2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Yan et al., 2023)",parenthetical,Yan et al.,2023,yan2023,yan2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/01-introduction/subsection-03-methodological-contribution.md,3,"(Aware et al., 2025)",parenthetical,Aware et al.,2025,aware2025,aware2025,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-01-location.md,5,"(Abanyie et al., 2023)",parenthetical,Abanyie et al.,2023,abanyie2023,abanyie2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-01-location.md,5,"(Kwoyiga et al., 2018)",parenthetical,Kwoyiga et al.,2018,kwoyiga2018,kwoyiga2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-02-climate.md,3,"(Owusu, 2018)",parenthetical,Owusu,2018,owusu2018,owusu2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-02-climate.md,3,"(Issahaku et al., 2016)",parenthetical,Issahaku et al.,2016,issahaku2016,issahaku2016,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-02-climate.md,5,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-03-geology.md,5,"(Attandoh et al., 2013)",parenthetical,Attandoh et al.,2013,attandoh2013,attandoh2013,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-03-geology.md,5,"(Aliou et al., 2022)",parenthetical,Aliou et al.,2022,aliou2022,aliou2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-03-geology.md,5,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-03-geology.md,5,"(Sunkari et al., 2024)",parenthetical,Sunkari et al.,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-03-geology.md,5,"(Araya et al., 2022)",parenthetical,Araya et al.,2022,araya2022,araya2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-03-geology.md,5,"(Sunkari & Ambushe, 2024)",parenthetical,Sunkari & Ambushe,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-04-landuse.md,3,"(Kwoyiga et al., 2018)",parenthetical,Kwoyiga et al.,2018,kwoyiga2018,kwoyiga2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-04-landuse.md,5,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-04-landuse.md,5,"(Sunkari et al., 2024)",parenthetical,Sunkari et al.,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/02-study-area/subsection-04-landuse.md,5,"(Ashong et al., 2024)",parenthetical,Ashong et al.,2024,ashong2024,ashong2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/section.md,3,"(Shelton et al., 2018)",parenthetical,Shelton et al.,2018,shelton2018,shelton2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/section.md,3,"(Oh et al., 2024)",parenthetical,Oh et al.,2024,oh2024,oh2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-03-npls-gwqi.md,3,"(Chidiac et al., 2023)",parenthetical,Chidiac et al.,2023,chidiac2023,chidiac2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-03-npls-gwqi.md,3,"(Seifi et al., 2020)",parenthetical,Seifi et al.,2020,seifi2020,seifi2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-03-npls-gwqi.md,5,"(Wang et al., 2023)",parenthetical,Wang et al.,2023,wang2023,wang2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-04-compositional.md,3,"(Shelton et al., 2018)",parenthetical,Shelton et al.,2018,shelton2018,shelton2018,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-04-compositional.md,3,"(Oh et al., 2024)",parenthetical,Oh et al.,2024,oh2024,oh2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-06-bayesian.md,3,"(Piironen & Vehtari, 2017)",parenthetical,Piironen & Vehtari,2017,piironen2017,piironen2017,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-07-health-risk.md,5,"(Kaur et al., 2020)",parenthetical,Kaur et al.,2020,kaur2020,kaur2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-07-health-risk.md,5,"(Gao et al., 2022)",parenthetical,Gao et al.,2022,gao2022,gao2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-07-health-risk.md,7,"(Ma et al., 2022)",parenthetical,Ma et al.,2022,ma2022,ma2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-07-health-risk.md,7,"(Yan et al., 2023)",parenthetical,Yan et al.,2023,yan2023,yan2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-08-irrigation.md,5,"(Singh et al., 2019)",parenthetical,Singh et al.,2019,singh2019,singh2019,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/03-methodology/subsection-08-irrigation.md,5,"(Gorgij et al., 2023)",parenthetical,Gorgij et al.,2023,gorgij2023,gorgij2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-01-hydrochemical-evolution.md,3,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-01-hydrochemical-evolution.md,3,"(Sunkari et al., 2024)",parenthetical,Sunkari et al.,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-01-hydrochemical-evolution.md,5,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-01-hydrochemical-evolution.md,5,"(Sunkari & Ambushe, 2024)",parenthetical,Sunkari & Ambushe,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-01-hydrochemical-evolution.md,7,Araya et al. (2022),narrative,Araya et al.,2022,araya2022,araya2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-01-hydrochemical-evolution.md,7,Sunkari & Ambushe (2024),narrative,Sunkari & Ambushe,2024,sunkari2024,sunkari2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-02-gwqi-structure.md,3,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-02-gwqi-structure.md,3,"(Ashong et al., 2024)",parenthetical,Ashong et al.,2024,ashong2024,ashong2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-02-gwqi-structure.md,5,"(Chidiac et al., 2023)",parenthetical,Chidiac et al.,2023,chidiac2023,chidiac2023,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-02-gwqi-structure.md,5,"(Seifi et al., 2020)",parenthetical,Seifi et al.,2020,seifi2020,seifi2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-04-health.md,3,"(Ganyaglo et al., 2019)",parenthetical,Ganyaglo et al.,2019,ganyaglo2019,ganyaglo2019,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-04-health.md,3,"(Ashong et al., 2024)",parenthetical,Ashong et al.,2024,ashong2024,ashong2024,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-04-health.md,5,Kaur et al. (2020),narrative,Kaur et al.,2020,kaur2020,kaur2020,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-04-health.md,5,Ma et al. (2022),narrative,Ma et al.,2022,ma2022,ma2022,matched,
C:/Users/DicksonAbdul-Wahab/Documents/Dr_Sukari_Manuscript/wqiwithGPT/manuscript/sections/05-discussion/subsection-05-irrigation.md,5,"(Chegbeleh et al., 2020)",parenthetical,Chegbeleh et al.,2020,chegbeleh2020,chegbeleh2020,matched,
